Ohne Medium_RI0,3_FA0,1_NL100;12500 mPas_RI0,3_FA0,1_NL100_1bar;100000 mPas_RI0,3_FA0,1_NL100_3 bar
-132,98;560,4585628;-88,42739663
-130,50;558,8707428;-84,29680622
-132,15;568,4346622;-86,77550041
-132,15;563,6415909;-86,77550041
-132,15;566,8344959;-86,77550041
-132,15;565,2368068;-85,12315621
-132,98;566,8344959;-85,12315621
-133,80;562,0488442;-85,94938629
-131,32;554,1220112;-80,99012782
-132,15;560,4585628;-81,81699711
-132,98;555,7024709;-81,81699711
-132,15;554,1220112;-81,81699711
-132,15;552,5439969;-81,81699711
-133,80;555,7024709;-84,29680622
-136,28;550,9684241;-85,12315621
-133,80;549,3952889;-81,81699711
-135,45;554,1220112;-82,64373063
-135,45;549,3952889;-84,29680622
-135,45;547,8245873;-85,94938629
-134,63;544,6904691;-83,47033234
-137,11;552,5439969;-84,29680622
-137,93;550,9684241;-85,94938629
-135,45;554,1220112;-82,64373063
-137,93;557,2853802;-83,47033234
-137,11;557,2853802;-85,12315621
-136,28;557,2853802;-85,94938629
-133,80;557,2853802;-80,99012782
-134,63;563,6415909;-81,81699711
-135,45;560,4585628;-81,81699711
-132,98;558,8707428;-81,81699711
-134,63;560,4585628;-82,64373063
-135,45;558,8707428;-83,47033234
-137,93;555,7024709;-86,77550041
-132,98;552,5439969;-83,47033234
-136,28;558,8707428;-84,29680622
-135,45;557,2853802;-82,64373063
-134,63;558,8707428;-83,47033234
-134,63;558,8707428;-83,47033234
-134,63;558,8707428;-84,29680622
-136,28;554,1220112;-85,94938629
-132,98;550,9684241;-82,64373063
-132,98;554,1220112;-84,29680622
-132,98;554,1220112;-83,47033234
-134,63;557,2853802;-85,12315621
-132,15;557,2853802;-82,64373063
-132,98;562,0488442;-84,29680622
-135,45;558,8707428;-84,29680622
-134,63;557,2853802;-80,99012782
-135,45;560,4585628;-81,81699711
-134,63;562,0488442;-83,47033234
-134,63;563,6415909;-87,60150253
-132,98;560,4585628;-83,47033234
-132,98;565,2368068;-84,29680622
-133,80;562,0488442;-81,81699711
-133,80;558,8707428;-80,16311881
-133,80;562,0488442;-79,33596611
-134,63;563,6415909;-80,99012782
-137,11;562,0488442;-82,64373063
-133,80;558,8707428;-80,16311881
-134,63;563,6415909;-80,99012782
-135,45;560,4585628;-80,16311881
-133,80;560,4585628;-80,99012782
-132,98;557,2853802;-80,99012782
-133,80;557,2853802;-81,81699711
-134,63;554,1220112;-84,29680622
-132,98;547,8245873;-81,81699711
-134,63;552,5439969;-81,81699711
-134,63;552,5439969;-81,81699711
-137,11;554,1220112;-84,29680622
-134,63;552,5439969;-83,47033234
-134,63;557,2853802;-85,12315621
-135,45;555,7024709;-86,77550041
-132,98;555,7024709;-85,12315621
-133,80;560,4585628;-84,29680622
-132,15;560,4585628;-84,29680622
-133,80;560,4585628;-85,94938629
-132,15;557,2853802;-84,29680622
-132,15;563,6415909;-85,12315621
-131,32;562,0488442;-85,12315621
-129,67;560,4585628;-84,29680622
-130,50;560,4585628;-84,29680622
-130,50;562,0488442;-84,29680622
-132,98;560,4585628;-85,94938629
-129,67;557,2853802;-82,64373063
-130,50;565,2368068;-83,47033234
-132,15;562,0488442;-84,29680622
-132,98;563,6415909;-86,77550041
-132,15;565,2368068;-85,94938629
-132,15;562,0488442;-85,94938629
-133,80;557,2853802;-86,77550041
-131,32;554,1220112;-83,47033234
-132,98;560,4585628;-84,29680622
-132,15;560,4585628;-83,47033234
-135,45;558,8707428;-84,29680622
-133,80;554,1220112;-83,47033234
-134,63;557,2853802;-83,47033234
-136,28;555,7024709;-85,12315621
-132,98;554,1220112;-82,64373063
-133,80;557,2853802;-84,29680622
