Festo,DST
-150.7,489.2
-151.4,488.7
-152.0,488.2
-152.6,487.8
-153.2,487.4
-154.0,487.1
-155.1,486.9
-156.0,486.6
-157.0,486.2
-157.9,485.8
-158.7,485.0
-159.6,484.4
-160.5,484.0
-161.7,483.2
-162.9,482.6
-164.2,482.0
-165.4,481.4
-166.2,481.1
-166.7,480.9
-167.5,480.5
-168.2,480.1
-168.9,479.7
-170.3,479.2
-171.4,478.9
-172.6,478.4
-173.9,477.9
-174.6,477.4
-175.4,476.9
-176.0,476.5
-176.7,476.0
-177.5,475.4
-178.6,474.9
-179.6,474.4
-180.6,474.0
-181.6,473.6
-182.5,473.1
-183.5,472.5
-184.6,471.6
-185.7,471.0
-186.7,470.2
-188.0,469.4
-189.2,468.9
-190.2,468.4
-191.6,468.1
-192.7,467.6
-193.6,467.1
-194.9,466.7
-195.8,466.2
-196.8,465.7
-198.1,465.0
-198.9,464.2
-200.0,463.4
-200.7,462.7
-201.5,462.1
-202.9,461.6
-204.2,461.2
-205.7,460.6
-206.6,459.9
-207.6,459.1
-208.3,458.0
-209.1,457.3
-210.2,456.6
-211.1,455.7
-211.9,455.2
-213.2,454.6
-214.3,453.9
-215.2,452.9
-216.7,452.1
-217.6,450.9
-218.5,449.9
-219.6,449.4
-220.2,448.4
-220.8,447.2
-221.4,446.1
-222.1,444.9
-222.9,443.9
-223.7,443.3
-224.3,442.5
-224.7,441.4
-225.4,440.5
-226.0,439.3
-226.8,438.0
-227.5,437.0
-228.0,435.8
-228.6,434.9
-229.1,433.7
-229.5,432.5
-230.0,431.2
-230.3,429.9
-230.6,428.9
-231.0,427.7
-231.3,426.5
-231.6,425.1
-231.9,424.2
-232.2,423.2
-232.5,421.6
-232.7,419.9
-232.9,418.2
-233.0,416.7
-233.1,415.8
-233.1,414.5
-233.2,413.2
-233.3,411.4
-233.5,409.5
-233.8,408.1
-233.9,406.4
-234.1,404.4
-234.1,402.9
-234.0,401.2
-233.9,399.6
-233.8,398.2
-233.7,396.4
-233.6,394.4
-233.6,392.1
-233.4,390.4
-233.2,388.2
-233.0,386.0
-232.9,384.2
-232.9,381.9
-232.7,379.9
-232.5,377.9
-232.1,375.6
-231.8,373.2
-231.6,371.0
-231.3,368.6
-231.2,366.4
-231.0,364.9
-230.8,363.0
-230.6,361.0
-230.4,358.5
-230.3,355.5
-230.2,352.6
-230.1,350.0
-229.9,348.0
-229.8,345.7
-229.7,343.5
-229.6,341.3
-229.5,338.5
-229.3,336.5
-229.2,334.1
-229.1,331.9
-229.0,329.4
-228.9,326.3
-228.9,323.3
-228.9,320.4
-228.9,318.3
-229.0,315.6
-229.1,312.9
-229.2,310.4
-229.3,306.8
-229.3,304.4
-229.3,302.3
-229.2,298.9
-229.2,296.7
-229.2,294.4
-229.2,291.2
-229.2,288.6
-229.2,285.3
-229.2,281.5
-229.2,278.6
-229.3,276.1
-229.3,273.3
-229.4,270.9
-229.5,268.0
-229.5,264.8
-229.4,261.8
-229.3,258.7
-229.2,256.0
-229.0,253.0
-228.8,251.0
-229.0,247.8
-229.0,244.7
-229.3,241.6
-229.5,237.8
-229.5,235.0
-229.6,231.5
-229.8,228.6
-230.0,226.1
-230.2,224.0
-230.3,221.3
-230.3,218.4
-230.4,214.7
-230.5,210.7
-230.5,208.0
-230.5,204.7
-230.4,201.9
-230.4,199.4
-230.4,197.1
-230.3,194.0
-230.2,191.4
-230.0,188.7
-229.9,185.4
-229.7,183.0
-229.7,179.7
-229.9,176.2
-230.1,173.2
-230.3,169.7
-230.5,167.3
-230.5,164.4
-230.5,160.6
-230.5,157.6
-230.5,154.2
-230.5,150.5
-230.5,148.0
-230.6,145.4
-230.6,142.2
-230.6,140.0
-230.7,137.2
-230.7,133.9
-230.7,131.0
-230.7,127.9
-230.7,125.5
-230.7,122.9
-230.6,120.5
-230.6,117.4
-230.5,114.1
-230.5,111.7
-230.4,108.9
-230.3,106.1
-230.3,102.9
-230.5,98.8
-230.6,95.5
-230.7,93.5
-230.8,90.9
-230.6,88.9
-230.5,86.6
-230.4,83.1
-230.4,80.5
-230.4,77.9
-230.3,75.2
-230.3,72.9
-230.3,70.1
-230.2,67.6
-230.2,65.0
-230.2,62.5
-230.0,59.9
-229.9,56.5
-229.8,53.0
-229.6,50.2
-229.6,47.7
-229.7,45.4
-229.7,43.8
-229.8,41.6
-229.8,38.9
-230.0,37.3
-230.0,34.7
-230.0,32.1
-229.9,29.8
-229.8,27.1
-229.7,24.5
-229.7,22.5
-229.7,20.2
-229.7,17.8
-229.7,16.0
-229.7,13.8
-229.7,11.5
-229.7,9.3
-229.8,6.9
-229.9,4.4
-229.9,2.8
-230.0,1.0
-230.0,-1.2
-230.0,-2.9
-230.0,-4.8
-229.9,-7.0
-229.8,-8.3
-229.8,-10.6
-229.7,-12.8
-229.8,-14.7
-229.8,-16.8
-229.8,-18.4
-229.8,-20.0
-229.9,-21.6
-229.9,-23.6
-229.9,-25.2
-230.0,-27.4
-230.0,-29.4
-230.1,-31.1
-230.1,-33.0
-230.2,-34.5
-230.3,-36.3
-230.3,-37.8
-230.3,-39.4
-230.4,-41.1
-230.4,-42.2
-230.5,-43.4
-230.6,-44.8
-230.6,-46.4
-230.6,-48.1
-230.7,-49.8
-230.7,-51.4
-230.6,-52.9
-230.5,-54.5
-230.4,-56.2
-230.3,-57.8
-230.3,-59.0
-230.3,-60.1
-230.3,-61.1
-230.3,-62.5
-230.4,-63.7
-230.4,-65.1
-230.5,-66.6
-230.6,-67.7
-230.6,-69.5
-230.7,-71.5
-230.7,-72.9
-230.7,-74.2
-230.8,-75.3
-231.0,-76.1
-231.1,-76.9
-231.3,-78.0
-231.4,-78.7
-231.4,-79.5
-231.4,-80.7
-231.4,-81.6
-231.3,-82.6
-231.3,-83.9
-231.2,-84.7
-231.2,-85.6
-231.2,-86.4
-231.2,-86.8
-231.2,-87.4
-231.3,-88.6
-231.3,-89.8
-231.3,-91.1
-231.3,-92.1
-231.3,-92.6
-231.3,-93.1
-231.3,-93.2
-231.3,-93.4
-231.3,-93.8
-231.3,-94.4
-231.3,-95.0
-231.3,-95.6
-231.3,-96.1
-231.3,-96.4
-231.4,-96.7
-231.5,-97.0
-231.6,-97.0
-231.6,-97.4
-231.6,-97.6
-231.6,-97.7
-231.7,-97.8
-231.7,-97.6
-231.7,-97.2
-231.7,-97.2
-231.7,-96.8
-231.7,-96.6
-231.6,-96.4
-231.6,-96.1
-231.6,-95.9
-231.6,-95.7
-231.7,-95.5
-231.7,-95.4
-231.7,-95.2
-231.8,-95.0
-231.7,-94.5
-231.7,-94.1
-231.6,-93.8
-231.6,-93.5
-231.6,-93.5
-231.6,-93.4
-231.6,-93.2
-231.6,-93.0
-231.6,-92.7
-231.6,-92.7
-231.5,-92.6
-231.5,-92.4
-231.5,-92.2
-231.5,-92.1
-231.6,-91.9
-231.7,-91.8
-231.7,-91.6
-231.8,-91.5
-231.8,-91.5
-231.7,-91.5
-231.5,-91.6
-231.4,-91.6
-231.2,-91.6
-231.4,-91.9
-231.5,-92.4
-231.5,-92.9
-231.7,-93.4
-231.7,-93.8
-231.7,-93.9
-231.9,-94.1
-232.0,-94.2
-232.0,-94.4
-232.0,-94.6
-232.0,-94.8
-232.0,-95.2
-232.0,-95.6
-231.9,-96.0
-231.8,-96.5
-231.7,-96.8
-231.7,-97.0
-231.7,-97.3
-231.8,-97.9
-231.8,-98.6
-231.6,-99.5
-231.6,-100.3
-231.5,-100.9
-231.4,-101.2
-231.4,-101.3
-231.3,-101.2
-231.3,-100.9
-231.4,-100.5
-231.4,-100.1
-231.4,-99.6
-231.5,-99.3
-231.6,-98.8
-231.8,-98.4
-231.8,-98.2
-231.8,-97.8
-231.8,-97.6
-231.7,-97.4
-231.6,-97.1
-231.6,-96.9
-231.6,-96.6
-231.6,-96.4
-231.4,-96.3
-231.4,-96.3
-231.5,-96.4
-231.6,-96.6
-231.8,-96.6
-231.8,-96.8
-231.9,-96.9
-231.9,-97.0
-231.9,-97.1
-231.9,-97.4
-231.9,-97.5
-231.9,-97.6
-231.9,-97.6
-231.9,-97.4
-231.8,-97.5
-231.8,-97.5
-231.8,-97.5
-231.8,-97.4
-231.7,-97.3
-231.8,-97.2
-231.8,-97.2
-231.8,-97.2
-231.8,-97.2
-231.9,-97.2
-231.9,-97.2
-231.9,-97.3
-231.9,-97.3
-231.9,-97.3
-231.9,-97.3
-231.9,-97.3
-232.0,-97.4
-232.0,-97.4
-232.0,-97.4
-232.0,-97.5
-232.0,-97.5
-232.0,-97.6
-232.0,-97.8
-232.0,-97.9
-232.0,-98.1
-231.9,-98.3
-231.9,-98.4
-231.9,-98.5
-231.9,-98.6
-232.0,-98.5
-232.1,-98.3
-232.1,-98.1
-232.2,-97.9
-232.3,-97.8
-232.3,-97.6
-232.3,-97.4
-232.3,-97.3
-232.2,-97.1
-232.2,-97.0
-232.2,-96.9
-232.2,-96.7
-232.3,-96.6
-232.3,-96.5
-232.3,-96.4
-232.3,-96.4
-232.3,-96.4
-232.4,-96.4
-232.4,-96.4
-232.5,-96.5
-232.6,-96.6
-232.6,-96.7
-232.6,-97.0
-232.6,-97.3
-232.6,-97.5
-232.7,-97.6
-232.7,-97.6
-232.7,-97.6
-232.6,-97.6
-232.5,-97.5
-232.4,-97.4
-232.3,-97.3
-232.2,-97.3
-232.1,-97.3
-232.0,-97.4
-231.9,-97.7
-231.9,-97.9
-232.1,-98.2
-232.3,-98.3
-232.4,-98.3
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.4
-232.5,-98.5
-232.6,-98.6
-232.5,-98.7
-232.6,-98.8
-232.6,-98.8
-232.6,-98.7
-232.6,-98.6
-232.6,-98.5
-232.6,-98.4
-232.6,-98.3
-232.6,-98.3
-232.6,-98.3
-232.6,-98.2
-232.7,-98.1
-232.8,-98.0
-232.9,-97.8
-232.9,-97.7
-232.8,-97.6
-232.8,-97.4
-232.7,-97.2
-232.7,-97.1
-232.6,-96.9
-232.5,-97.1
-232.4,-97.2
-232.3,-97.4
-232.3,-97.6
-232.3,-97.8
-232.4,-98.0
-232.4,-98.2
-232.4,-98.4
-232.5,-98.5
-232.4,-98.5
-232.5,-98.4
